response	task	participantID	age	gender	language	amE	comments	expression	cc	context	trial
1	target	3	29	female	English	AmE	"""":""""""""}	demonstrate	Zoe calculated the tip	explicitIgnorance	25
0	target	3	29	female	English	AmE	"""":""""""""}	annoyed	Frank got a cat	explicitIgnorance	26
0	target	3	29	female	English	AmE	"""":""""""""}	admit	Emily bought a car yesterday	factL	27
0	target	3	29	female	English	AmE	"""":""""""""}	inform	Owen shoveled snow last winter	factH	28
0	target	3	29	female	English	AmE	"""":""""""""}	also	noCC	explicitIgnorance	29
0	target	3	29	female	English	AmE	"""":""""""""}	stop	noCC	explicitIgnorance	30
1	target	3	29	female	English	AmE	"""":""""""""}	establish	Charley speaks Spanish	factH	31
0	target	3	29	female	English	AmE	"""":""""""""}	cleft	noCC	explicitIgnorance	32
1	target	3	29	female	English	AmE	"""":""""""""}	suggest	Jayden rented a car	explicitIgnorance	33
1	target	3	29	female	English	AmE	"""":""""""""}	confess	Tony had a drink last night	factL	34
1	target	3	29	female	English	AmE	"""":""""""""}	think	Isabella ate a steak on Sunday	explicitIgnorance	35
1	practice	2	39	female	English	AmE	"""":""""""""}	practice	noCC	other	1
0.02	practice	2	39	female	English	AmE	"""":""""""""}	practice	noCC	other	2
0.95	practice	2	39	female	English	AmE	"""":""""""""}	practice	noCC	other	3
0	practice	2	39	female	English	AmE	"""":""""""""}	practice	noCC	other	4
0.02	target	2	39	female	English	AmE	"""":""""""""}	continue	noCC	explicitIgnorance	6
0.02	target	2	39	female	English	AmE	"""":""""""""}	admit	Emma studied on Saturday morning	factL	7
0.55	target	2	39	female	English	AmE	"""":""""""""}	announce	Zoe calculated the tip	factL	8
0.91	target	2	39	female	English	AmE	"""":""""""""}	stop	noCC	explicitIgnorance	9
0.98	target	2	39	female	English	AmE	"""":""""""""}	suggest	Danny ate the last cupcake	explicitIgnorance	10
1	target	2	39	female	English	AmE	"""":""""""""}	say	Grace visited her sister	explicitIgnorance	11
0.87	target	2	39	female	English	AmE	"""":""""""""}	controlGood3	noCC	other	12
0.78	target	2	39	female	English	AmE	"""":""""""""}	reveal	Olivia sleeps until noon	explicitIgnorance	13
1	target	2	39	female	English	AmE	"""":""""""""}	think	Isabella ate a steak on Sunday	explicitIgnorance	14
1	target	2	39	female	English	AmE	"""":""""""""}	controlGood4	noCC	other	15
0.61	target	2	39	female	English	AmE	"""":""""""""}	inform	Jackson ran 10 miles	factH	16
0.53	target	2	39	female	English	AmE	"""":""""""""}	establish	Josh learned to ride a bike yesterday	factH	17
0.11	target	2	39	female	English	AmE	"""":""""""""}	cleft	noCC	explicitIgnorance	18
0.67	target	2	39	female	English	AmE	"""":""""""""}	controlGood2	noCC	explicitIgnorance	19
0.46	target	2	39	female	English	AmE	"""":""""""""}	acknowledge	Mia drank 2 cocktails last night	explicitIgnorance	20
0.39	target	2	39	female	English	AmE	"""":""""""""}	pretend	Frank got a cat	explicitIgnorance	21
0.13	target	2	39	female	English	AmE	"""":""""""""}	demonstrate	Julian dances salsa	explicitIgnorance	22
0.56	target	2	39	female	English	AmE	"""":""""""""}	prove	Charley speaks Spanish	factH	23
0.03	target	2	39	female	English	AmE	"""":""""""""}	again	noCC	explicitIgnorance	24
0.88	target	2	39	female	English	AmE	"""":""""""""}	confirm	Mary is pregnant	factL	25
1	target	2	39	female	English	AmE	"""":""""""""}	controlGood1	noCC	explicitIgnorance	26
0.06	target	2	39	female	English	AmE	"""":""""""""}	too	noCC	explicitIgnorance	27
0.05	target	2	39	female	English	AmE	"""":""""""""}	also	noCC	explicitIgnorance	28
1	target	2	39	female	English	AmE	"""":""""""""}	hear	Josie went on vacation to France	factH	29
0	target	2	39	female	English	AmE	"""":""""""""}	annoyed	Emily bought a car yesterday	explicitIgnorance	30
0.84	target	2	39	female	English	AmE	"""":""""""""}	see	Tony had a drink last night	explicitIgnorance	31
0	target	2	39	female	English	AmE	"""":""""""""}	know	Sophia got a tattoo	explicitIgnorance	32
0.68	target	2	39	female	English	AmE	"""":""""""""}	discover	Jon walks to work	explicitIgnorance	33
0.25	target	2	39	female	English	AmE	"""":""""""""}	confess	Owen shoveled snow last winter	factL	34
0.95	target	2	39	female	English	AmE	"""":""""""""}	right	Jayden rented a car	explicitIgnorance	35
0.75	practice	1	33	female	English	AmE	"""":""""""""}	practice	noCC	other	1
0	practice	1	33	female	English	AmE	"""":""""""""}	practice	noCC	other	2
0.64	practice	1	33	female	English	AmE	"""":""""""""}	practice	noCC	other	3
0	practice	1	33	female	English	AmE	"""":""""""""}	practice	noCC	other	4
0	target	1	33	female	English	AmE	"""":""""""""}	reveal	Jon walks to work	explicitIgnorance	6
0.88	target	1	33	female	English	AmE	"""":""""""""}	say	Julian dances salsa	explicitIgnorance	7
0.8	target	1	33	female	English	AmE	"""":""""""""}	controlGood2	noCC	explicitIgnorance	8
0.29	target	1	33	female	English	AmE	"""":""""""""}	demonstrate	Josie went on vacation to France	explicitIgnorance	9
0.84	target	1	33	female	English	AmE	"""":""""""""}	discover	Emily bought a car yesterday	explicitIgnorance	10
0.8	target	1	33	female	English	AmE	"""":""""""""}	prove	Owen shoveled snow last winter	factH	11
0.01	target	1	33	female	English	AmE	"""":""""""""}	confess	Josh learned to ride a bike yesterday	factL	12
0.68	target	1	33	female	English	AmE	"""":""""""""}	right	Charley speaks Spanish	explicitIgnorance	13
0.04	target	1	33	female	English	AmE	"""":""""""""}	again	noCC	explicitIgnorance	14
0.8	target	1	33	female	English	AmE	"""":""""""""}	think	Tony had a drink last night	explicitIgnorance	15
0	target	1	33	female	English	AmE	"""":""""""""}	continue	noCC	explicitIgnorance	16
0.08	target	1	33	female	English	AmE	"""":""""""""}	stop	noCC	explicitIgnorance	17
0.05	target	1	33	female	English	AmE	"""":""""""""}	also	noCC	explicitIgnorance	18
0.75	target	1	33	female	English	AmE	"""":""""""""}	controlGood1	noCC	explicitIgnorance	19
0.26	target	1	33	female	English	AmE	"""":""""""""}	confirm	Grace visited her sister	factL	20
0.17	target	1	33	female	English	AmE	"""":""""""""}	too	noCC	explicitIgnorance	21
0.18	target	1	33	female	English	AmE	"""":""""""""}	know	Danny ate the last cupcake	explicitIgnorance	22
0.8	target	1	33	female	English	AmE	"""":""""""""}	pretend	Olivia sleeps until noon	explicitIgnorance	23
0.83	target	1	33	female	English	AmE	"""":""""""""}	hear	Frank got a cat	factH	24
0.22	target	1	33	female	English	AmE	"""":""""""""}	see	Sophia got a tattoo	explicitIgnorance	25
0.79	target	1	33	female	English	AmE	"""":""""""""}	establish	Emma studied on Saturday morning	factH	26
0.77	target	1	33	female	English	AmE	"""":""""""""}	controlGood3	noCC	other	27
0.84	target	1	33	female	English	AmE	"""":""""""""}	controlGood4	noCC	other	28
0.75	target	1	33	female	English	AmE	"""":""""""""}	inform	Mary is pregnant	factH	29
0.2	target	1	33	female	English	AmE	"""":""""""""}	announce	Jayden rented a car	factL	30
0.27	target	1	33	female	English	AmE	"""":""""""""}	admit	Zoe calculated the tip	factL	31
0.21	target	1	33	female	English	AmE	"""":""""""""}	annoyed	Isabella ate a steak on Sunday	explicitIgnorance	32
0.78	target	1	33	female	English	AmE	"""":""""""""}	suggest	Jackson ran 10 miles	explicitIgnorance	33
0.71	target	1	33	female	English	AmE	"""":""""""""}	acknowledge	Mia drank 2 cocktails last night	explicitIgnorance	34
0.29	target	1	33	female	English	AmE	"""":""""""""}	cleft	noCC	explicitIgnorance	35
0.58	practice	4	37	female	English	AmE	"""":""""""""}	practice	noCC	other	1
0.83	practice	4	37	female	English	AmE	"""":""""""""}	practice	noCC	other	2
0.1	practice	4	37	female	English	AmE	"""":""""""""}	practice	noCC	other	3
0.84	practice	4	37	female	English	AmE	"""":""""""""}	practice	noCC	other	4
0.05	practice	4	37	female	English	AmE	"""":""""""""}	practice	noCC	other	5
0.04	target	4	37	female	English	AmE	"""":""""""""}	see	Olivia sleeps until noon	explicitIgnorance	8
0.06	target	4	37	female	English	AmE	"""":""""""""}	continue	noCC	explicitIgnorance	9
0.65	target	4	37	female	English	AmE	"""":""""""""}	hear	Frank got a cat	factH	10
0.67	target	4	37	female	English	AmE	"""":""""""""}	pretend	Emily bought a car yesterday	explicitIgnorance	11
0.37	target	4	37	female	English	AmE	"""":""""""""}	demonstrate	Mary is pregnant	explicitIgnorance	12
0.63	target	4	37	female	English	AmE	"""":""""""""}	controlGood2	noCC	explicitIgnorance	13
0.05	target	4	37	female	English	AmE	"""":""""""""}	annoyed	Danny ate the last cupcake	explicitIgnorance	14
0.69	target	4	37	female	English	AmE	"""":""""""""}	controlGood4	noCC	other	15
0.56	target	4	37	female	English	AmE	"""":""""""""}	say	Jayden rented a car	explicitIgnorance	16
0.73	target	4	37	female	English	AmE	"""":""""""""}	establish	Tony had a drink last night	factH	17
0.1	target	4	37	female	English	AmE	"""":""""""""}	discover	Isabella ate a steak on Sunday	explicitIgnorance	18
0.11	target	4	37	female	English	AmE	"""":""""""""}	reveal	Mia drank 2 cocktails last night	explicitIgnorance	19
0.73	target	4	37	female	English	AmE	"""":""""""""}	right	Charley speaks Spanish	explicitIgnorance	20
0.16	target	4	37	female	English	AmE	"""":""""""""}	too	noCC	explicitIgnorance	21
0.79	target	4	37	female	English	AmE	"""":""""""""}	announce	Emma studied on Saturday morning	factL	22
0.35	target	4	37	female	English	AmE	"""":""""""""}	confirm	Jackson ran 10 miles	factL	23
0.62	target	4	37	female	English	AmE	"""":""""""""}	think	Julian dances salsa	explicitIgnorance	24
0.13	target	4	37	female	English	AmE	"""":""""""""}	again	noCC	explicitIgnorance	25
0.15	target	4	37	female	English	AmE	"""":""""""""}	also	noCC	explicitIgnorance	26
0.56	target	4	37	female	English	AmE	"""":""""""""}	acknowledge	Jon walks to work	explicitIgnorance	27
0.67	target	4	37	female	English	AmE	"""":""""""""}	confess	Sophia got a tattoo	factL	28
0.6	target	4	37	female	English	AmE	"""":""""""""}	prove	Zoe calculated the tip	factH	29
0.65	target	4	37	female	English	AmE	"""":""""""""}	controlGood1	noCC	explicitIgnorance	30
0.76	target	4	37	female	English	AmE	"""":""""""""}	inform	Owen shoveled snow last winter	factH	31
0.69	target	4	37	female	English	AmE	"""":""""""""}	controlGood3	noCC	other	32
0.62	target	4	37	female	English	AmE	"""":""""""""}	suggest	Josh learned to ride a bike yesterday	explicitIgnorance	33
0.21	target	4	37	female	English	AmE	"""":""""""""}	admit	Grace visited her sister	factL	34
0.04	target	4	37	female	English	AmE	"""":""""""""}	know	Josie went on vacation to France	explicitIgnorance	35
0.13	target	4	37	female	English	AmE	"""":""""""""}	stop	noCC	explicitIgnorance	36
0.06	target	4	37	female	English	AmE	"""":""""""""}	cleft	noCC	explicitIgnorance	37
0.85	practice	5	27	female	English	AmE	"""":""""""""}	practice	noCC	other	1
0	practice	5	27	female	English	AmE	"""":""""""""}	practice	noCC	other	2
0.95	practice	5	27	female	English	AmE	"""":""""""""}	practice	noCC	other	3
0	practice	5	27	female	English	AmE	"""":""""""""}	practice	noCC	other	4
0.86	target	5	27	female	English	AmE	"""":""""""""}	controlGood1	noCC	explicitIgnorance	6
0	target	5	27	female	English	AmE	"""":""""""""}	annoyed	Josh learned to ride a bike yesterday	explicitIgnorance	7
0.91	target	5	27	female	English	AmE	"""":""""""""}	demonstrate	Charley speaks Spanish	explicitIgnorance	8
1	target	5	27	female	English	AmE	"""":""""""""}	think	Josie went on vacation to France	explicitIgnorance	9
1	target	5	27	female	English	AmE	"""":""""""""}	controlGood4	noCC	other	10
0.74	target	5	27	female	English	AmE	"""":""""""""}	inform	Emily bought a car yesterday	factH	11
0.13	target	5	27	female	English	AmE	"""":""""""""}	acknowledge	Owen shoveled snow last winter	explicitIgnorance	12
0.17	target	5	27	female	English	AmE	"""":""""""""}	cleft	noCC	explicitIgnorance	13
0.32	target	5	27	female	English	AmE	"""":""""""""}	see	Mary is pregnant	explicitIgnorance	14
0.82	target	5	27	female	English	AmE	"""":""""""""}	say	Tony had a drink last night	explicitIgnorance	15
0	target	5	27	female	English	AmE	"""":""""""""}	know	Jackson ran 10 miles	explicitIgnorance	16
0.1	target	5	27	female	English	AmE	"""":""""""""}	prove	Emma studied on Saturday morning	factH	17
0.09	target	5	27	female	English	AmE	"""":""""""""}	confirm	Frank got a cat	factL	18
0	target	5	27	female	English	AmE	"""":""""""""}	discover	Julian dances salsa	explicitIgnorance	19
0	target	5	27	female	English	AmE	"""":""""""""}	continue	noCC	explicitIgnorance	20
1	target	5	27	female	English	AmE	"""":""""""""}	again	noCC	explicitIgnorance	21
0	target	5	27	female	English	AmE	"""":""""""""}	controlGood3	noCC	other	22
0.69	target	5	27	female	English	AmE	"""":""""""""}	right	Isabella ate a steak on Sunday	explicitIgnorance	23
1	target	5	27	female	English	AmE	"""":""""""""}	establish	Jon walks to work	factH	24
0	target	5	27	female	English	AmE	"""":""""""""}	too	noCC	explicitIgnorance	25
1	target	5	27	female	English	AmE	"""":""""""""}	confess	Grace visited her sister	factL	26
1	target	5	27	female	English	AmE	"""":""""""""}	reveal	Jayden rented a car	explicitIgnorance	27
0.23	target	5	27	female	English	AmE	"""":""""""""}	admit	Sophia got a tattoo	factL	28
1	target	5	27	female	English	AmE	"""":""""""""}	announce	Mia drank 2 cocktails last night	factL	29
1	target	5	27	female	English	AmE	"""":""""""""}	suggest	Zoe calculated the tip	explicitIgnorance	30
0.08	target	5	27	female	English	AmE	"""":""""""""}	also	noCC	explicitIgnorance	31
0	target	5	27	female	English	AmE	"""":""""""""}	stop	noCC	explicitIgnorance	32
0.24	target	5	27	female	English	AmE	"""":""""""""}	pretend	Olivia sleeps until noon	explicitIgnorance	33
1	target	5	27	female	English	AmE	"""":""""""""}	hear	Danny ate the last cupcake	factH	34
1	target	5	27	female	English	AmE	"""":""""""""}	controlGood2	noCC	explicitIgnorance	35
