rt	stimulus	response	trial_type	trial_index	time_elapsed	internal_node_id	slider_start	task	correct	accuracy	participant_id	ctime
6442	<b>Cici:</b><em> ""I don't know if Stephen was ever in the habit of vaping. Has Stephen recently stopped vaping?""</em>	18	html-slider-response	15	118730	0.0-6.0-0.3	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
10575	<b>Rachel:</b><em> ""Emily has been saving for a year. Did Brian demonstrate that Emily bought a car yesterday?""</em>	67	html-slider-response	16	129316	0.0-6.0-0.4	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
6196	<b>Arlen:</b><em> ""I don't know if anyone was playing outside with the kids. Was it Jack who was playing outside with the kids?""</em>	10	html-slider-response	17	135516	0.0-6.0-0.5	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
6009	<b>Sharon:</b><em> ""Jayden doesn't have a driver's license. Did Stephanie suggest that Jayden rented a car?""</em>	77	html-slider-response	18	141530	0.0-6.0-0.6	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
10112	<b>Brandon:</b><em> ""Grace loves her sister. Did Andrew discover that Grace visited her sister?""</em>	44	html-slider-response	19	151646	0.0-6.0-0.7	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
9687	<b>Nicole:</b><em> ""I don't know if Jon walks to work. Did Ruth announce that Jon walks to work?""</em>	62	html-slider-response	20	161338	0.0-6.0-0.8	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
11203	<b>Virginia:</b><em> ""I don't know if Sophia got a tattoo. Is Ben annoyed that Sophia got a tattoo?""</em>	31	html-slider-response	21	172547	0.0-6.0-0.9	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
6672	<b>Elizabeth:</b><em> ""Olivia has two small children. Did Jerry acknowledge that Olivia sleeps until noon?""</em>	43	html-slider-response	22	179225	0.0-6.0-0.10	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
11733	<b>Pax:</b><em> ""Hendrick was looking to buy a car. Was Hendrick's car expensive?""</em>	51	html-slider-response	23	190964	0.0-6.0-0.11	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
6197	<b>Finn:</b><em> ""I don't know if Samantha has a new hat. Does Samantha have a new hat?""</em>	78	html-slider-response	24	197169	0.0-6.0-0.12	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
4413	<b>Dalton:</b><em> ""I don't know if Svenja plays any sport. Does Svenja also play soccer?""</em>	10	html-slider-response	25	201585	0.0-6.0-0.13	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
7953	<b>Dorothy:</b><em> ""I don't know if Isabella ate a steak on Sunday. Did Kevin see that Isabella ate a steak on Sunday?""</em>	40	html-slider-response	26	209540	0.0-6.0-0.14	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
7598	<b>Jonathan:</b><em> ""I don't know if Charley speaks Spanish. Did Anna prove that Charley speaks Spanish?""</em>	62	html-slider-response	27	217142	0.0-6.0-0.15	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
27447	<b>Paul:</b><em> ""I don't know if Owen shoveled snow last winter. Did Cynthia inform Sam that Owen shoveled snow last winter?""</em>	63	html-slider-response	28	244596	0.0-6.0-0.16	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
5991	<b>Scott:</b><em> ""I don't know if Frank got a cat. Did Melissa establish that Frank got a cat?""</em>	28	html-slider-response	29	250598	0.0-6.0-0.17	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
4628	<b>Saskia:</b><em> ""I don't know if William was ever interested in history. Is William interested in history again?""</em>	22	html-slider-response	30	255233	0.0-6.0-0.18	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
7190	<b>Eric:</b><em> ""I don't know if Josh learned to ride a bike yesterday. Does Sharon think that Josh learned to ride a bike yesterday?""</em>	79	html-slider-response	31	262426	0.0-6.0-0.19	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
4307	<b>Dorothy:</b><em> ""I don't know if Zoe calculated the tip. Did Tim hear that Zoe calculated the tip?""</em>	78	html-slider-response	32	266737	0.0-6.0-0.20	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
5511	<b>Margaret:</b><em> ""I don't know if Josie went on vacation to France. Does Scott know that Josie went on vacation to France?""</em>	21	html-slider-response	33	272251	0.0-6.0-0.21	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
5869	<b>Melissa:</b><em> ""I don't know if Jackson ran 10 miles. Is Laura right that Jackson ran 10 miles?""</em>	70	html-slider-response	34	278124	0.0-6.0-0.22	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
5935	<b>Marlo:</b><em> ""I don't know if this pizza has mushrooms on it. Does this pizza have mushrooms on it?""</em>	40	html-slider-response	35	284064	0.0-6.0-0.23	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
5202	<b>Jessica:</b><em> ""Tony has been sober for 20 years. Did Rebecca confess that Tony had a drink last night?""</em>	86	html-slider-response	36	289272	0.0-6.0-0.24	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
6164	<b>Michelle:</b><em> ""Julian is Cuban. Did Kathleen admit that Julian dances salsa?""</em>	40	html-slider-response	37	295442	0.0-6.0-0.25	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
6115	<b>Ike:</b><em> ""Mary visited her aunt yesterday. Is Mary's aunt sick?""</em>	84	html-slider-response	38	301562	0.0-6.0-0.26	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
4919	<b>Autumn:</b><em> ""I don't know if John was ever reading ""Dune"". Has John recently continued reading ""Dune""?""</em>	30	html-slider-response	39	306483	0.0-6.0-0.27	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
7013	<b>Joseph:</b><em> ""I don't know if Mia drank 2 cocktails last night. Did Ray pretend that Mia drank 2 cocktails last night?""</em>	91	html-slider-response	40	313500	0.0-6.0-0.28	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
7031	<b>Joseph:</b><em> ""Danny is a diabetic. Did Amanda reveal that Danny ate the last cupcake?""</em>	41	html-slider-response	41	320537	0.0-6.0-0.29	50	target	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
37139	NA	{""P0_Q0"":null,""age"":""36"",""gender"":""female"",""language"":""no"",""amE"":""yes"",""comments"":""""}	survey	42	357880	0.0-7.0	NA	demographics	NA	[]	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
5281	<p>You're done! Thanks for participating! <br>
  The completion code is <b>C1HNU5GM</b>.</p>	0	html-button-response	43	363167	0.0-8.0	NA	NA	NA	NA	f9418bf5-4f4b-4954-913f-75948366bc30	2023-07-06 14:11:47 CEST
16544	<h3>Instructions</h3><p style='text-align:left'>In this experiment, you will read what different people say and rate how natural that sounds. Here's an example from Leah:<br><br><b>Leah:</b> <i>""I have no idea if Mitchell got a poodle. Did Frank suggest that Mitchell wanted to get a poodle?""</i><br> <br> Leah first made a statement and then asked a question. We ask you to rate how natural the question sounds in the context of the statement. You will give your answer on a sliding scale from ""totally unnatural"" to ""totally natural"".<br><br> We start off with four practice examples. Then you will rate 30 examples.<br><br><b> Payment:</b> You will be paid $1.35 to participate in this experiment, which will take about 5 minutes to complete.<br> <p style='text-align:left' font size=""1""> <b> Consent:</b> By clicking on the button below you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. You may withdraw from this experiment at any time without penalty. The data collected will be anonymous and confidential. If you have any questions, you may contact the requester through Prolific's platform, or directly at judith.tonhauser@ling.uni-stuttgart.de.</p>	0	html-button-response	0	16550	0.0-0.0	NA	NA	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
12726	<b>First practice example</b><br><br><b> Katia: </b> <i>""I have no idea where Natalie is from. Is Natalie from the USA?""</i>	100	html-slider-response	1	29277	0.0-1.0-0.0	50	practice	TRUE	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
5431	<p style='text-align:left'><b> Good response! </b><br><br><b> Katia: </b> <i>""I have no idea where Natalie is from. Is Natalie from the USA?""</i> <br><br> Katia's question sounds very natural in this context because it is natural for Katia to ask whether Natalie is from the USA if Katia doesn't know where Natalie is from.</p>	0	html-button-response	2	34709	0.0-1.0-2.0-0.0	NA	NA	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
5039	<p style='text-align:left'><b>Here's the second practice example.</b><br><br><b>Xenia: </b><i>""I don't have any sisters. Have you met my sister yet?""</i></p>	0	html-slider-response	3	39749	0.0-2.0-0.0	50	practice	TRUE	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
1791	<p style='text-align:left'><b> Good response! </b><br><br><b>Xenia: </b><i>""I don't have any sisters. Have you met my sister yet?""</i> <br><br> Xenia's question does not sound very natural in this context. Her question implies that she has a sister, but she stated that she doesn't have any sisters.</p>	0	html-button-response	4	41541	0.0-2.0-2.0-0.0	NA	NA	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
8640	<p style='text-align:left'><b>Here's the third practice example.</b><br><br><b>Kerstin: </b> <i>""I am going on vacation to Ireland. Does Fritz realize that Joe is going with me?""</i></p>	100	html-slider-response	5	50182	0.0-3.0-0.0	50	practice	TRUE	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
1286	<p style='text-align:left'><b> Good response! </b><br><br><b>Kerstin: </b> <i>""I am going on vacation to Ireland. Does Fritz realize that Joe is going with me?""</i> <br><br> Kerstin's question sounds very natural in this context.</p>	0	html-button-response	6	51469	0.0-3.0-2.0-0.0	NA	NA	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
5775	<p style='text-align:left'><b> Here's the last practice example.</b><br><br><b>Mirko: </b><i>""I have no idea if Anna has any dogs. Is Samuel glad that Anna fed her dogs?""</i></p>	0	html-slider-response	7	57245	0.0-4.0-0.0	50	practice	TRUE	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
2128	<p style='text-align:left'><b> Good response! </b><br><br><b>Mirko: </b><i>""I have no idea if Anna has any dogs. Is Samuel glad that Anna fed her dogs?""</i> <br><br> Mirko's question does not sound very natural in this context. Mirko's question implies that he thinks that Anna has dogs, but he stated that he doesn't know whether Anna has any dogs.</p>	0	html-button-response	8	59374	0.0-4.0-2.0-0.0	NA	NA	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
2815	<p style='text-align:left'><b>Great, you're ready to go!</b><br>To make sure you are paying attention, we have included some examples for which we know the right answer. If you read the examples carefully, you will definitely get those right.<br></p>	0	html-button-response	9	62189	0.0-5.0	NA	NA	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
9207	<b>Saskia:</b><em> ""I don't know if William was ever interested in history. Is William interested in history again?""</em>	0	html-slider-response	10	71397	0.0-6.0-0.0	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
9054	<b>Karen:</b><em> ""I don't know if Josh learned to ride a bike yesterday. Does Sharon think that Josh learned to ride a bike yesterday?""</em>	100	html-slider-response	11	80453	0.0-6.0-0.1	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
4791	<b>Leia:</b><em> ""I don't know if Ann plays any instrument. Does Ann play the flute, too?""</em>	0	html-slider-response	12	85245	0.0-6.0-0.2	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
5367	<b>Marlo:</b><em> ""I don't know if this pizza has mushrooms on it. Does this pizza have mushrooms on it?""</em>	100	html-slider-response	13	90613	0.0-6.0-0.3	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
19344	<b>Ruth:</b><em> ""Isabella is a vegetarian. Did Kevin admit that Isabella ate a steak on Sunday?""</em>	67	html-slider-response	14	109958	0.0-6.0-0.4	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
14023	<b>Edward:</b><em> ""I don't know if Grace visited her sister. Did Andrew confess that Grace visited her sister?""</em>	84	html-slider-response	15	123982	0.0-6.0-0.5	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
10791	<b>Jonathan:</b><em> ""Zoe is a math major. Does Tim know that Zoe calculated the tip?""</em>	100	html-slider-response	16	134774	0.0-6.0-0.6	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
6159	<b>Jason:</b><em> ""I don't know if Charley speaks Spanish. Did Anna establish that Charley speaks Spanish?""</em>	100	html-slider-response	17	140933	0.0-6.0-0.7	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
18152	<b>Ryan:</b><em> ""I don't know if Mary is pregnant. Did Patrick reveal that Mary is pregnant?""</em>	69	html-slider-response	18	159086	0.0-6.0-0.8	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
8511	<b>Tyler:</b><em> ""I don't know if Jon walks to work. Did Ruth prove that Jon walks to work?""</em>	100	html-slider-response	19	167598	0.0-6.0-0.9	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
4351	<b>Brenda:</b><em> ""I don't know if Frank got a cat. Did Melissa say that Frank got a cat?""</em>	100	html-slider-response	20	171950	0.0-6.0-0.10	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
11391	<b>Jerry:</b><em> ""I don't know if Jayden rented a car. Did Stephanie pretend that Jayden rented a car?""</em>	81	html-slider-response	21	183342	0.0-6.0-0.11	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
10383	<b>Benjamin:</b><em> ""Julian is Cuban. Did Kathleen acknowledge that Julian dances salsa?""</em>	29	html-slider-response	22	193726	0.0-6.0-0.12	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
6704	<b>David:</b><em> ""Emily never has any money. Did Brian suggest that Emily bought a car yesterday?""</em>	100	html-slider-response	23	200430	0.0-6.0-0.13	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
7383	<b>Sandra:</b><em> ""I don't know if Owen shoveled snow last winter. Did Cynthia announce that Owen shoveled snow last winter?""</em>	19	html-slider-response	24	207814	0.0-6.0-0.14	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
13975	<b>Arlen:</b><em> ""I don't know if anyone was playing outside with the kids. Was it Jack who was playing outside with the kids?""</em>	0	html-slider-response	25	221790	0.0-6.0-0.15	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
8263	<b>Laura:</b><em> ""I don't know if Sophia got a tattoo. Did Ben see that Sophia got a tattoo?""</em>	0	html-slider-response	26	230054	0.0-6.0-0.16	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
7272	<b>Ike:</b><em> ""Mary visited her aunt yesterday. Is Mary's aunt sick?""</em>	100	html-slider-response	27	237327	0.0-6.0-0.17	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
7023	<b>Ronald:</b><em> ""Tony has been sober for 20 years. Did Rebecca demonstrate that Tony had a drink last night?""</em>	0	html-slider-response	28	244350	0.0-6.0-0.18	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
8967	<b>Pax:</b><em> ""Hendrick was looking to buy a car. Was Hendrick's car expensive?""</em>	100	html-slider-response	29	253318	0.0-6.0-0.19	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
13631	<b>Julie:</b><em> ""I don't know if Mia drank 2 cocktails last night. Is Ray right that Mia drank 2 cocktails last night?""</em>	83	html-slider-response	30	266950	0.0-6.0-0.20	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
10479	<b>Christopher:</b><em> ""Olivia works the third shift. Did Jerry inform Sam that Olivia sleeps until noon?""</em>	100	html-slider-response	31	277431	0.0-6.0-0.21	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
5071	<b>Dalton:</b><em> ""I don't know if Svenja plays any sport. Does Svenja also play soccer?""</em>	0	html-slider-response	32	282502	0.0-6.0-0.22	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
7800	<b>Amy:</b><em> ""I don't know if Josie went on vacation to France. Is Scott annoyed that Josie went on vacation to France?""</em>	0	html-slider-response	33	290302	0.0-6.0-0.23	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
6431	<b>Donna:</b><em> ""Danny is a diabetic. Did Amanda confirm that Danny ate the last cupcake?""</em>	82	html-slider-response	34	296734	0.0-6.0-0.24	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
7832	<b>Cici:</b><em> ""I don't know if Stephen was ever in the habit of vaping. Has Stephen recently stopped vaping?""</em>	0	html-slider-response	35	304566	0.0-6.0-0.25	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
5328	<b>Finn:</b><em> ""I don't know if Samantha has a new hat. Does Samantha have a new hat?""</em>	100	html-slider-response	36	309895	0.0-6.0-0.26	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
13055	<b>Kevin:</b><em> ""I don't know if Jackson ran 10 miles. Did Laura hear that Jackson ran 10 miles?""</em>	71	html-slider-response	37	322950	0.0-6.0-0.27	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
6319	<b>Autumn:</b><em> ""I don't know if John was ever reading ""Dune"". Has John recently continued reading ""Dune""?""</em>	0	html-slider-response	38	329270	0.0-6.0-0.28	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
6480	<b>Eric:</b><em> ""Emma is in law school. Did Justin discover that Emma studied on Saturday morning?""</em>	72	html-slider-response	39	335751	0.0-6.0-0.29	50	target	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
12679	NA	{""P0_Q0"":null,""age"":""41"",""gender"":""female"",""language"":""yes"",""amE"":""yes"",""comments"":""""}	survey	40	348474	0.0-7.0	NA	demographics	NA	[]	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
5523	<p>You're done! Thanks for participating! <br>
  The completion code is <b>C1HNU5GM</b>.</p>	0	html-button-response	41	353998	0.0-8.0	NA	NA	NA	NA	00a9b6cb-1134-4501-8124-af28c7281eaf	2023-07-06 14:12:05 CEST
1872	<h3>Instructions</h3><p style='text-align:left'>In this experiment, you will read what different people say and rate how natural that sounds. Here's an example from Leah:<br><br><b>Leah:</b> <i>""I have no idea if Mitchell got a poodle. Did Frank suggest that Mitchell wanted to get a poodle?""</i><br> <br> Leah first made a statement and then asked a question. We ask you to rate how natural the question sounds in the context of the statement. You will give your answer on a sliding scale from ""totally unnatural"" to ""totally natural"".<br><br> We start off with four practice examples. Then you will rate 30 examples.<br><br><b> Payment:</b> You will be paid $1.35 to participate in this experiment, which will take about 5 minutes to complete.<br> <p style='text-align:left' font size=""1""> <b> Consent:</b> By clicking on the button below you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. You may withdraw from this experiment at any time without penalty. The data collected will be anonymous and confidential. If you have any questions, you may contact the requester through Prolific's platform, or directly at judith.tonhauser@ling.uni-stuttgart.de.</p>	0	html-button-response	0	1876	0.0-0.0	NA	NA	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
8896	<b>First practice example</b><br><br><b> Katia: </b> <i>""I have no idea where Natalie is from. Is Natalie from the USA?""</i>	69	html-slider-response	1	10775	0.0-1.0-0.0	50	practice	TRUE	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
